species,sci,lat,lon,month
Demoiselle Crane,Anthropoides virgo,22.912648,71.953344,1
Demoiselle Crane,Anthropoides virgo,22.912826,71.969299,1
Demoiselle Crane,Anthropoides virgo,22.917381,71.968258,1
Demoiselle Crane,Anthropoides virgo,27.137367,72.416895,1
Demoiselle Crane,Anthropoides virgo,27.137367,72.416895,1
Demoiselle Crane,Anthropoides virgo,27.137107,72.418112,1
Demoiselle Crane,Anthropoides virgo,27.137107,72.418112,1
Demoiselle Crane,Anthropoides virgo,22.923692,71.972699,1
Demoiselle Crane,Anthropoides virgo,27.133804,72.40996,1
Demoiselle Crane,Anthropoides virgo,22.823565,72.03234,1
Demoiselle Crane,Anthropoides virgo,21.87396,69.347779,2
Demoiselle Crane,Anthropoides virgo,23.28182,71.634785,2
Demoiselle Crane,Anthropoides virgo,23.432898,72.2,2
Demoiselle Crane,Anthropoides virgo,23.223593,71.7517,2
Demoiselle Crane,Anthropoides virgo,23.216926,71.74914,2
Demoiselle Crane,Anthropoides virgo,23.222912,71.752188,2
Demoiselle Crane,Anthropoides virgo,22.615342,101.094608,2
Demoiselle Crane,Anthropoides virgo,27.664438,74.470898,2
Demoiselle Crane,Anthropoides virgo,22.826374,72.107029,2
Demoiselle Crane,Anthropoides virgo,22.892713,72.067108,2
Demoiselle Crane,Anthropoides virgo,22.892713,72.067108,2
Demoiselle Crane,Anthropoides virgo,27.137698,72.41812,2
Demoiselle Crane,Anthropoides virgo,27.138299,72.41102,2
Demoiselle Crane,Anthropoides virgo,21.682898,69.551748,2
Demoiselle Crane,Anthropoides virgo,21.58885,69.682167,3
Demoiselle Crane,Anthropoides virgo,42.420963,69.52595,3
Demoiselle Crane,Anthropoides virgo,42.43101,69.538754,3
Demoiselle Crane,Anthropoides virgo,49.121697,46.809117,3
Demoiselle Crane,Anthropoides virgo,34.00904,71.383394,3
Demoiselle Crane,Anthropoides virgo,43.079281,74.532381,4
Demoiselle Crane,Anthropoides virgo,43.763943,76.327675,4
Demoiselle Crane,Anthropoides virgo,45.925093,45.50728,4
Demoiselle Crane,Anthropoides virgo,49.722751,73.064994,4
Demoiselle Crane,Anthropoides virgo,46.07665,45.353662,4
Demoiselle Crane,Anthropoides virgo,51.492846,82.227303,4
Demoiselle Crane,Anthropoides virgo,49.845009,72.945213,4
Demoiselle Crane,Anthropoides virgo,50.09801,73.203401,4
Demoiselle Crane,Anthropoides virgo,50.10889,73.207452,4
Demoiselle Crane,Anthropoides virgo,46.139786,43.463656,4
Demoiselle Crane,Anthropoides virgo,46.20189,43.484514,4
Demoiselle Crane,Anthropoides virgo,46.10608,43.508752,4
Demoiselle Crane,Anthropoides virgo,51.228763,71.698431,4
Demoiselle Crane,Anthropoides virgo,51.30383,80.50996,4
Demoiselle Crane,Anthropoides virgo,49.102636,46.82834,4
Demoiselle Crane,Anthropoides virgo,28.194117,81.513315,4
Demoiselle Crane,Anthropoides virgo,49.186561,46.850691,4
Demoiselle Crane,Anthropoides virgo,46.555135,45.064068,4
Demoiselle Crane,Anthropoides virgo,49.840833,72.900689,4
Demoiselle Crane,Anthropoides virgo,49.840833,72.900689,4
Demoiselle Crane,Anthropoides virgo,49.851875,72.954823,4
Demoiselle Crane,Anthropoides virgo,49.24457,75.832205,4
Demoiselle Crane,Anthropoides virgo,49.857108,72.958589,4
Demoiselle Crane,Anthropoides virgo,46.309184,44.261534,4
Demoiselle Crane,Anthropoides virgo,52.613652,59.421218,4
Demoiselle Crane,Anthropoides virgo,49.852324,72.95596,4
Demoiselle Crane,Anthropoides virgo,49.722602,73.071292,4
Demoiselle Crane,Anthropoides virgo,46.360367,44.822787,4
Demoiselle Crane,Anthropoides virgo,46.103214,43.540942,4
Demoiselle Crane,Anthropoides virgo,46.10884,43.389521,4
Demoiselle Crane,Anthropoides virgo,44.293173,76.722522,4
Demoiselle Crane,Anthropoides virgo,50.099275,73.200019,4
Demoiselle Crane,Anthropoides virgo,46.572435,45.411873,4
Demoiselle Crane,Anthropoides virgo,50.718805,70.357261,4
Demoiselle Crane,Anthropoides virgo,50.099275,73.200019,4
Demoiselle Crane,Anthropoides virgo,43.6906,76.499938,4
Demoiselle Crane,Anthropoides virgo,46.21799,43.13098,4
Demoiselle Crane,Anthropoides virgo,54.609967,64.515271,4
Demoiselle Crane,Anthropoides virgo,43.394398,78.819821,4
Demoiselle Crane,Anthropoides virgo,49.722344,73.064401,4
Demoiselle Crane,Anthropoides virgo,50.307925,87.637879,4
Demoiselle Crane,Anthropoides virgo,52.601466,82.885494,4
Demoiselle Crane,Anthropoides virgo,50.81764,88.1899,4
Demoiselle Crane,Anthropoides virgo,51.276858,87.722398,4
Demoiselle Crane,Anthropoides virgo,52.601466,82.885494,4
Demoiselle Crane,Anthropoides virgo,49.973158,88.6951,4
Demoiselle Crane,Anthropoides virgo,46.138753,43.33465,4
Demoiselle Crane,Anthropoides virgo,46.06986,43.09618,4
Demoiselle Crane,Anthropoides virgo,46.220611,43.139675,4
Demoiselle Crane,Anthropoides virgo,50.861086,61.214581,4
Demoiselle Crane,Anthropoides virgo,52.45175,82.834249,4
Demoiselle Crane,Anthropoides virgo,46.110271,43.534486,4
Demoiselle Crane,Anthropoides virgo,46.219143,43.133935,4
Demoiselle Crane,Anthropoides virgo,54.041201,59.436293,4
Demoiselle Crane,Anthropoides virgo,54.90511,83.116304,4
Demoiselle Crane,Anthropoides virgo,51.318103,82.245985,4
Demoiselle Crane,Anthropoides virgo,46.217624,43.134405,4
Demoiselle Crane,Anthropoides virgo,46.010395,43.179235,4
Demoiselle Crane,Anthropoides virgo,48.598781,90.015428,4
Demoiselle Crane,Anthropoides virgo,49.835001,73.174432,5
Demoiselle Crane,Anthropoides virgo,53.293194,61.176923,5
Demoiselle Crane,Anthropoides virgo,49.85049,87.891748,5
Demoiselle Crane,Anthropoides virgo,51.869705,59.817501,5
Demoiselle Crane,Anthropoides virgo,50.144182,88.30901,5
Demoiselle Crane,Anthropoides virgo,52.06806,84.999777,5
Demoiselle Crane,Anthropoides virgo,50.905718,85.120862,5
Demoiselle Crane,Anthropoides virgo,52.428163,60.289378,5
Demoiselle Crane,Anthropoides virgo,49.123853,46.821526,5
Demoiselle Crane,Anthropoides virgo,50.199005,87.709714,5
Demoiselle Crane,Anthropoides virgo,50.20106,88.016371,5
Demoiselle Crane,Anthropoides virgo,50.024425,88.504522,5
Demoiselle Crane,Anthropoides virgo,52.82244,79.7625,5
Demoiselle Crane,Anthropoides virgo,51.37482,80.09065,5
Demoiselle Crane,Anthropoides virgo,51.25966,54.92299,5
Demoiselle Crane,Anthropoides virgo,51.84364,80.23459,5
Demoiselle Crane,Anthropoides virgo,47.477077,80.605242,5
Demoiselle Crane,Anthropoides virgo,51.88124,58.390814,5
Demoiselle Crane,Anthropoides virgo,51.394393,82.198135,5
Demoiselle Crane,Anthropoides virgo,51.304619,80.087839,5
Demoiselle Crane,Anthropoides virgo,50.815306,85.937264,5
Demoiselle Crane,Anthropoides virgo,50.302977,87.617777,5
Demoiselle Crane,Anthropoides virgo,54.633758,64.442148,5
Demoiselle Crane,Anthropoides virgo,52.482848,60.37021,5
Demoiselle Crane,Anthropoides virgo,50.102846,72.749552,5
Demoiselle Crane,Anthropoides virgo,50.364253,87.042552,5
Demoiselle Crane,Anthropoides virgo,49.906223,88.768825,5
Demoiselle Crane,Anthropoides virgo,50.102935,72.749557,5
Demoiselle Crane,Anthropoides virgo,50.040857,73.865375,5
Demoiselle Crane,Anthropoides virgo,50.015511,88.606937,5
Demoiselle Crane,Anthropoides virgo,51.030557,82.238921,5
Demoiselle Crane,Anthropoides virgo,50.813141,70.250934,5
Demoiselle Crane,Anthropoides virgo,50.76496,70.165063,5
Demoiselle Crane,Anthropoides virgo,51.09095,60.85328,5
Demoiselle Crane,Anthropoides virgo,52.1287,77.19323,5
Demoiselle Crane,Anthropoides virgo,50.80556,60.62497,5
Demoiselle Crane,Anthropoides virgo,50.88339,61.33603,5
Demoiselle Crane,Anthropoides virgo,50.89014,61.19308,5
Demoiselle Crane,Anthropoides virgo,52.192934,54.824447,5
Demoiselle Crane,Anthropoides virgo,50.8112,60.769608,5
Demoiselle Crane,Anthropoides virgo,52.6599,60.451595,5
Demoiselle Crane,Anthropoides virgo,51.859615,59.810472,5
Demoiselle Crane,Anthropoides virgo,50.811527,60.765625,5
Demoiselle Crane,Anthropoides virgo,47.309857,88.24553,5
Demoiselle Crane,Anthropoides virgo,50.850992,60.799464,5
Demoiselle Crane,Anthropoides virgo,52.479248,60.3353,5
Demoiselle Crane,Anthropoides virgo,50.883203,61.336622,5
Demoiselle Crane,Anthropoides virgo,50.974236,61.479886,5
Demoiselle Crane,Anthropoides virgo,51.995,59.902,5
Demoiselle Crane,Anthropoides virgo,49.903566,88.770011,5
Demoiselle Crane,Anthropoides virgo,49.960272,88.718185,5
Demoiselle Crane,Anthropoides virgo,52.777604,60.491197,5
Demoiselle Crane,Anthropoides virgo,52.466963,60.344281,5
Demoiselle Crane,Anthropoides virgo,50.705922,70.024307,5
Demoiselle Crane,Anthropoides virgo,52.53599,60.38928,5
Demoiselle Crane,Anthropoides virgo,50.94146,60.07533,5
Demoiselle Crane,Anthropoides virgo,52.826688,104.414153,5
Demoiselle Crane,Anthropoides virgo,50.907439,61.36293,5
Demoiselle Crane,Anthropoides virgo,56.33739,101.64378,5
Demoiselle Crane,Anthropoides virgo,51.68347,102.01152,5
Demoiselle Crane,Anthropoides virgo,52.978054,103.749304,5
Demoiselle Crane,Anthropoides virgo,50.816,60.722,5
Demoiselle Crane,Anthropoides virgo,51.380481,61.365774,5
Demoiselle Crane,Anthropoides virgo,52.639502,60.421505,5
Demoiselle Crane,Anthropoides virgo,45.586822,45.991455,5
Demoiselle Crane,Anthropoides virgo,50.814054,60.767373,5
Demoiselle Crane,Anthropoides virgo,53.521315,79.190722,5
Demoiselle Crane,Anthropoides virgo,49.918632,89.005108,5
Demoiselle Crane,Anthropoides virgo,46.15004,43.587182,5
Demoiselle Crane,Anthropoides virgo,52.660614,60.404644,5
Demoiselle Crane,Anthropoides virgo,52.614918,60.424783,5
Demoiselle Crane,Anthropoides virgo,50.02593,88.50291,5
Demoiselle Crane,Anthropoides virgo,50.30862,87.63439,5
Demoiselle Crane,Anthropoides virgo,51.027958,94.653128,5
Demoiselle Crane,Anthropoides virgo,51.59959,59.947051,5
Demoiselle Crane,Anthropoides virgo,51.694379,94.308258,5
Demoiselle Crane,Anthropoides virgo,48.286157,43.45387,5
Demoiselle Crane,Anthropoides virgo,51.278899,94.693977,5
Demoiselle Crane,Anthropoides virgo,51.6608,64.2744,5
Demoiselle Crane,Anthropoides virgo,54.6278,68.9162,5
Demoiselle Crane,Anthropoides virgo,54.1102,68.3843,5
Demoiselle Crane,Anthropoides virgo,49.4902,82.5025,5
Demoiselle Crane,Anthropoides virgo,48.6416,63.6417,5
Demoiselle Crane,Anthropoides virgo,50.787445,85.906117,5
Demoiselle Crane,Anthropoides virgo,47.367183,66.999434,5
Demoiselle Crane,Anthropoides virgo,52.614143,82.94067,5
Demoiselle Crane,Anthropoides virgo,47.392957,66.725348,5
Demoiselle Crane,Anthropoides virgo,52.57399,60.412575,5
Demoiselle Crane,Anthropoides virgo,46.028479,43.477483,5
Demoiselle Crane,Anthropoides virgo,50.94607,60.10674,5
Demoiselle Crane,Anthropoides virgo,55.186929,73.004663,5
Demoiselle Crane,Anthropoides virgo,52.787513,82.866115,5
Demoiselle Crane,Anthropoides virgo,53.011891,90.310303,6
Demoiselle Crane,Anthropoides virgo,49.942897,88.736303,6
Demoiselle Crane,Anthropoides virgo,54.437978,61.005781,6
Demoiselle Crane,Anthropoides virgo,51.279477,80.454588,6
Demoiselle Crane,Anthropoides virgo,54.30625,81.749943,6
Demoiselle Crane,Anthropoides virgo,49.855093,88.92885,6
Demoiselle Crane,Anthropoides virgo,52.780909,60.454712,6
Demoiselle Crane,Anthropoides virgo,44.108419,75.987771,6
Demoiselle Crane,Anthropoides virgo,52.67122,81.985842,6
Demoiselle Crane,Anthropoides virgo,49.5864,88.287018,6
Demoiselle Crane,Anthropoides virgo,49.720659,89.379939,6
Demoiselle Crane,Anthropoides virgo,50.40949,86.94103,6
Demoiselle Crane,Anthropoides virgo,50.30733,87.616215,6
Demoiselle Crane,Anthropoides virgo,50.249537,87.677775,6
Demoiselle Crane,Anthropoides virgo,53.011895,90.31035,6
Demoiselle Crane,Anthropoides virgo,50.408402,86.774728,6
Demoiselle Crane,Anthropoides virgo,43.710822,76.878069,6
Demoiselle Crane,Anthropoides virgo,45.420256,45.974676,6
Demoiselle Crane,Anthropoides virgo,47.779655,102.712557,6
Demoiselle Crane,Anthropoides virgo,50.076603,88.409308,6
Demoiselle Crane,Anthropoides virgo,49.984306,88.194664,6
Demoiselle Crane,Anthropoides virgo,51.584155,71.111667,6
Demoiselle Crane,Anthropoides virgo,52.078939,60.059875,6
Demoiselle Crane,Anthropoides virgo,51.163046,94.500946,6
Demoiselle Crane,Anthropoides virgo,51.39094,80.133525,6
Demoiselle Crane,Anthropoides virgo,47.356979,103.687142,6
Demoiselle Crane,Anthropoides virgo,46.118212,98.745397,6
Demoiselle Crane,Anthropoides virgo,52.701888,104.446154,6
Demoiselle Crane,Anthropoides virgo,52.198907,60.232895,6
Demoiselle Crane,Anthropoides virgo,52.369881,59.080431,6
Demoiselle Crane,Anthropoides virgo,52.105925,60.168003,6
Demoiselle Crane,Anthropoides virgo,47.762653,102.811609,6
Demoiselle Crane,Anthropoides virgo,46.656962,103.307387,6
Demoiselle Crane,Anthropoides virgo,52.508028,59.077105,6
Demoiselle Crane,Anthropoides virgo,52.383042,59.038683,6
Demoiselle Crane,Anthropoides virgo,44.642938,104.069249,6
Demoiselle Crane,Anthropoides virgo,46.732908,94.563464,6
Demoiselle Crane,Anthropoides virgo,45.620822,99.246355,6
Demoiselle Crane,Anthropoides virgo,46.413408,79.001548,6
Demoiselle Crane,Anthropoides virgo,44.643915,104.06824,6
Demoiselle Crane,Anthropoides virgo,46.732896,94.563481,6
Demoiselle Crane,Anthropoides virgo,47.722083,102.710148,6
Demoiselle Crane,Anthropoides virgo,49.755,89.262,6
Demoiselle Crane,Anthropoides virgo,51.340052,93.691109,6
Demoiselle Crane,Anthropoides virgo,53.756883,73.994438,6
Demoiselle Crane,Anthropoides virgo,50.296259,87.659673,6
Demoiselle Crane,Anthropoides virgo,52.263043,60.210909,6
Demoiselle Crane,Anthropoides virgo,52.770637,104.442494,6
Demoiselle Crane,Anthropoides virgo,49.938798,88.708964,6
Demoiselle Crane,Anthropoides virgo,50.516914,99.368751,6
Demoiselle Crane,Anthropoides virgo,50.00044,88.431884,6
Demoiselle Crane,Anthropoides virgo,50.407025,86.757215,6
Demoiselle Crane,Anthropoides virgo,49.850737,88.887032,6
Demoiselle Crane,Anthropoides virgo,49.79937,89.3269,6
Demoiselle Crane,Anthropoides virgo,50.0297,88.50205,6
Demoiselle Crane,Anthropoides virgo,50.40992,86.93996,6
Demoiselle Crane,Anthropoides virgo,49.80704,89.16159,6
Demoiselle Crane,Anthropoides virgo,56.190645,62.605589,6
Demoiselle Crane,Anthropoides virgo,49.842602,88.685331,6
Demoiselle Crane,Anthropoides virgo,49.57476,88.389198,6
Demoiselle Crane,Anthropoides virgo,49.942973,88.736638,6
Demoiselle Crane,Anthropoides virgo,46.862496,103.846656,6
Demoiselle Crane,Anthropoides virgo,51.397012,94.795068,6
Demoiselle Crane,Anthropoides virgo,46.733765,94.564416,6
Demoiselle Crane,Anthropoides virgo,47.106835,92.800462,6
Demoiselle Crane,Anthropoides virgo,51.126909,58.437351,6
Demoiselle Crane,Anthropoides virgo,46.119,98.745,6
Demoiselle Crane,Anthropoides virgo,47.348458,103.692789,6
Demoiselle Crane,Anthropoides virgo,44.685798,104.108558,6
Demoiselle Crane,Anthropoides virgo,45.6049,82.1572,7
Demoiselle Crane,Anthropoides virgo,50.22332,99.500612,7
Demoiselle Crane,Anthropoides virgo,52.96897,79.36405,7
Demoiselle Crane,Anthropoides virgo,51.519416,77.791032,7
Demoiselle Crane,Anthropoides virgo,50.306295,87.625528,7
Demoiselle Crane,Anthropoides virgo,48.383728,90.337563,7
Demoiselle Crane,Anthropoides virgo,53.466824,85.404525,7
Demoiselle Crane,Anthropoides virgo,50.33564,95.006206,7
Demoiselle Crane,Anthropoides virgo,50.306313,87.625519,7
Demoiselle Crane,Anthropoides virgo,50.212807,95.103263,7
Demoiselle Crane,Anthropoides virgo,50.373525,86.677823,7
Demoiselle Crane,Anthropoides virgo,52.96897,79.36405,7
